"SRR1552444.fastq.gz.subread.BAM" "SRR1552445.fastq.gz.subread.BAM" "SRR1552446.fastq.gz.subread.BAM" "SRR1552447.fastq.gz.subread.BAM"
"497097" 0 0 0 0
"100503874" 0 0 0 0
"100038431" 0 0 0 0
"19888" 0 0 0 0
"20671" 0 0 0 0
"27395" 0 0 0 0
"18777" 0 0 0 0
"100503730" 0 0 0 0
"21399" 0 0 0 0
"58175" 0 0 0 0
"108664" 0 0 0 0
"18387" 0 0 0 0
"226304" 0 0 0 0
"12421" 0 0 0 0
"620393" 0 0 0 0
"240690" 0 0 0 0
"319263" 0 0 0 0
"71096" 0 0 0 0
"59014" 0 0 0 0
"76187" 0 0 0 0
"72481" 0 0 0 0
"76982" 0 0 0 0
"17864" 0 0 0 0
"70675" 0 0 0 0
"73331" 0 0 0 0
"170755" 0 0 0 0
"620986" 0 0 0 0
"240697" 0 0 0 0
"73824" 0 0 0 0
"266793" 0 0 0 0
"100038398" 0 0 0 0
"100039596" 0 0 0 0
"69312" 0 0 0 0
"26754" 0 0 0 0
"211660" 0 0 0 0
"211673" 0 0 0 0
"329093" 0 0 0 0
"109294" 0 0 0 0
"320492" 0 0 0 0
"329096" 0 0 0 0
"240725" 0 0 0 0
"240726" 0 0 0 0
"383491" 0 0 0 0
"17978" 0 0 0 0
"72265" 0 1 0 0
"212442" 0 1 0 0
"381246" 0 0 0 0
"433273" 0 0 0 0
"14048" 0 0 0 0
"17681" 0 0 0 0
"277328" 0 0 0 0
"98741" 0 0 0 0
"21749" 0 0 0 0
"226866" 0 0 0 0
"665434" 0 0 0 0
"75799" 0 0 0 0
"19989" 3 0 1 3
"98711" 0 1 0 0
"29819" 0 0 0 0
"66799" 0 0 0 0
"67923" 0 0 0 0
"329101" 0 0 0 0
"70397" 0 0 0 0
"17087" 0 0 0 0
"57339" 0 0 0 0
"14545" 0 0 0 0
"94227" 0 0 0 0
"83691" 0 0 0 0
"78081" 0 0 0 0
"654454" 0 0 0 0
"654460" 0 0 0 0
"77673" 0 0 0 0
"654464" 0 0 0 0
"226896" 0 0 0 0
"21419" 0 0 0 0
"241035" 0 0 0 0
"75028" 0 0 0 0
"387202" 0 0 0 0
"723817" 0 0 0 0
"16171" 0 0 0 0
"257630" 0 0 0 0
"17215" 0 0 0 0
"77741" 0 0 0 0
"74229" 0 0 0 0
"71877" 0 0 0 0
"170829" 0 0 0 0
"75712" 0 0 0 0
