EntrezID	Length	MCL1-LA_BC2CTUACXX_GATCAG_L001_R1
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	10
20671	3130	16
27395	4203	560
18777	2433	826
100503730	799	0
21399	2847	1334
58175	2241	170
108664	1976	1381
18387	4707	0
226304	3692	0
12421	7046	1262
620393	858	0
240690	6161	0
319263	5232	1085
71096	4193	0
59014	2048	1207
76187	3139	26
72481	1246	19
76982	3187	5
17864	3564	256
70675	5179	1475
73331	1494	0
170755	5622	207
620986	451	127
240697	2553	0
73824	407	405
266793	74	8
100038398	2646	9
100039596	501	1
69312	1502	1
26754	1240	1531
211660	4354	561
211673	7042	3703
329093	1930	0
109294	11187	137
320492	8293	5
329096	3200	0
240725	4864	42
240726	8512	13
383491	2593	5
17978	8213	2359
72265	2888	2333
212442	1889	293
381246	1926	0
433273	1245	1
14048	4345	1
17681	1717	55
277328	4263	0
98741	5309	1
21749	1633	214
226866	2748	10
665434	572	1
75799	717	1
19989	934	15065
98711	2295	541
29819	2890	422
66799	2354	411
67923	955	1347
329101	2788	0
70397	1732	438
17087	603	75
57339	4809	83
14545	3938	2
94227	6923	11
83691	4006	9
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	1918
241035	12928	14
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	1737
77741	1120	1
74229	4420	32
71877	2208	33
170829	1409	117
75712	1112	43
14859	1450	6
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	1
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	3240
100503399	1522	3
280645	4362	49
98366	2259	473
68002	667	182
68187	6467	547
12839	3888	825
12823	10542	1
68421	5392	1232
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	212
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	2611
19243	4129	2009
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	5
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	537
67503	889	2
19335	4487	193
213539	1815	534
98403	3650	492
433287	3016	183
320705	2292	8
13518	23242	7210
100628580	79	0
69668	1705	244
27993	2249	969
52318	3559	373
19253	1578	1099
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	70
214469	5080	4211
226971	5469	1395
50785	3719	3587
320011	9029	2730
214854	2583	67
214855	5699	3911
226976	4663	2254
214895	2225	696
94220	4582	685
94218	5283	519
78321	1954	139
109346	1786	140
20353	3805	6550
381337	2577	35
12859	569	857
226977	2077	1965
71166	1127	3
22637	2180	1
56030	6548	1910
70853	4422	2
12790	3498	0
269180	6817	333
76178	3862	1507
67387	1412	558
269181	7054	1683
77633	2755	141
100861893	736	0
72097	4361	856
100503734	2218	0
211484	3400	47
623661	1555	48
69028	1229	139
107734	691	535
332427	2564	0
69541	798	0
98258	4596	1207
226982	7797	4480
56210	4262	527
16764	6010	5
381338	5077	1
98388	3120	13
100503760	2386	1
433292	1001	0
68833	1706	981
18143	4180	179
114641	1254	2350
54610	4440	942
52846	3170	489
100217461	94	10
67702	2434	1698
263764	5799	0
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	4341
100047133	858	0
16178	1343	5
16177	5035	640
107527	1950	85
17082	6967	4
16182	4781	639
16174	2487	26
110895	3822	16
226999	3493	34
211798	3152	86
381339	1096	2
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	620
