EntrezID	Length	MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	0
20671	3130	10
27395	4203	342
18777	2433	581
100503730	799	2
21399	2847	500
58175	2241	15
108664	1976	1296
18387	4707	0
226304	3692	0
12421	7046	622
620393	858	0
240690	6161	0
319263	5232	1459
71096	4193	0
59014	2048	409
76187	3139	252
72481	1246	12
76982	3187	5
17864	3564	49
70675	5179	432
73331	1494	1
170755	5622	36
620986	451	24
240697	2553	0
73824	407	93
266793	74	0
100038398	2646	15
100039596	501	1
69312	1502	1
26754	1240	763
211660	4354	266
211673	7042	2213
329093	1930	0
109294	11187	43
320492	8293	0
329096	3200	0
240725	4864	17
240726	8512	0
383491	2593	0
17978	8213	740
72265	2888	4628
212442	1889	377
381246	1926	4
433273	1245	4
14048	4345	1
17681	1717	2
277328	4263	0
98741	5309	0
21749	1633	121
226866	2748	1
665434	572	0
75799	717	0
19989	934	3766
98711	2295	108
29819	2890	222
66799	2354	226
67923	955	523
329101	2788	0
70397	1732	506
17087	603	88
57339	4809	43
14545	3938	1
94227	6923	2
83691	4006	7
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	85
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	2
17215	2886	591
77741	1120	0
74229	4420	1
71877	2208	5
170829	1409	54
75712	1112	3
14859	1450	35
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	3
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	2709
100503399	1522	5
280645	4362	47
98366	2259	439
68002	667	105
68187	6467	347
12839	3888	5597
12823	10542	1
68421	5392	513
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	84
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	776
19243	4129	599
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	1
170771	1359	0
408192	1437	1
408191	3748	0
19076	1937	166
67503	889	2
19335	4487	46
213539	1815	232
98403	3650	168
433287	3016	92
320705	2292	8
13518	23242	3500
100628580	79	1
69668	1705	152
27993	2249	465
52318	3559	86
19253	1578	1184
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	4
214469	5080	1717
226971	5469	247
50785	3719	2097
320011	9029	2691
214854	2583	15
214855	5699	1777
226976	4663	855
214895	2225	382
94220	4582	322
94218	5283	349
78321	1954	125
109346	1786	124
20353	3805	792
381337	2577	2
12859	569	619
226977	2077	1306
71166	1127	1
22637	2180	0
56030	6548	947
70853	4422	0
12790	3498	0
269180	6817	131
76178	3862	1225
67387	1412	344
269181	7054	1048
77633	2755	95
100861893	736	0
72097	4361	599
100503734	2218	3
211484	3400	17
623661	1555	21
69028	1229	115
107734	691	228
332427	2564	0
69541	798	1
98258	4596	400
226982	7797	2550
56210	4262	351
16764	6010	0
381338	5077	0
98388	3120	1
100503760	2386	0
433292	1001	0
68833	1706	316
18143	4180	380
114641	1254	673
54610	4440	4547
52846	3170	168
100217461	94	0
67702	2434	1942
263764	5799	0
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	923
100047133	858	0
16178	1343	3
16177	5035	112
107527	1950	163
17082	6967	1
16182	4781	629
16174	2487	132
110895	3822	3596
226999	3493	425
211798	3152	85
381339	1096	3
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	149
93690	3860	0
73122	5538	545
