EntrezID	Length	MCL1-LB_BC2CTUACXX_TGACCA_L001_R1
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	3
20671	3130	25
27395	4203	464
18777	2433	862
100503730	799	1
21399	2847	1258
58175	2241	165
108664	1976	1430
18387	4707	0
226304	3692	0
12421	7046	1336
620393	858	0
240690	6161	0
319263	5232	961
71096	4193	0
59014	2048	1071
76187	3139	55
72481	1246	15
76982	3187	8
17864	3564	311
70675	5179	1636
73331	1494	0
170755	5622	168
620986	451	119
240697	2553	1
73824	407	375
266793	74	5
100038398	2646	10
100039596	501	1
69312	1502	1
26754	1240	1714
211660	4354	623
211673	7042	3534
329093	1930	0
109294	11187	151
320492	8293	2
329096	3200	0
240725	4864	63
240726	8512	7
383491	2593	9
17978	8213	2541
72265	2888	2717
212442	1889	332
381246	1926	0
433273	1245	4
14048	4345	2
17681	1717	44
277328	4263	0
98741	5309	0
21749	1633	220
226866	2748	13
665434	572	1
75799	717	0
19989	934	14918
98711	2295	760
29819	2890	489
66799	2354	404
67923	955	1240
329101	2788	0
70397	1732	385
17087	603	89
57339	4809	49
14545	3938	2
94227	6923	10
83691	4006	10
78081	1192	0
654454	222	1
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	1692
241035	12928	22
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	1458
77741	1120	2
74229	4420	37
71877	2208	37
170829	1409	99
75712	1112	50
14859	1450	8
241041	1148	0
368204	1950	1
433278	844	0
98582	2247	0
226922	6980	4
116837	4066	0
66755	1781	1
387225	71	0
723964	84	0
70155	4844	2982
100503399	1522	2
280645	4362	60
98366	2259	562
68002	667	148
68187	6467	575
12839	3888	1603
12823	10542	3
68421	5392	1413
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	219
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	2740
19243	4129	1986
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	5
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	496
67503	889	3
19335	4487	212
213539	1815	577
98403	3650	567
433287	3016	208
320705	2292	5
13518	23242	6921
100628580	79	1
69668	1705	289
27993	2249	902
52318	3559	349
19253	1578	1345
21755	1246	1
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	65
214469	5080	4752
226971	5469	1428
50785	3719	3776
320011	9029	2692
214854	2583	79
214855	5699	3897
226976	4663	2375
214895	2225	778
94220	4582	740
94218	5283	454
78321	1954	203
109346	1786	163
20353	3805	6010
381337	2577	44
12859	569	833
226977	2077	2234
71166	1127	2
22637	2180	4
56030	6548	2204
70853	4422	1
12790	3498	3
269180	6817	384
76178	3862	1654
67387	1412	666
269181	7054	1737
77633	2755	120
100861893	736	0
72097	4361	1015
100503734	2218	0
211484	3400	57
623661	1555	43
69028	1229	153
107734	691	584
332427	2564	0
69541	798	1
98258	4596	1475
226982	7797	4686
56210	4262	523
16764	6010	5
381338	5077	0
98388	3120	19
100503760	2386	0
433292	1001	0
68833	1706	1202
18143	4180	310
114641	1254	2596
54610	4440	1310
52846	3170	509
100217461	94	3
67702	2434	1855
263764	5799	1
619289	2000	2
100042065	359	0
73426	531	0
26921	5974	4710
100047133	858	0
16178	1343	4
16177	5035	700
107527	1950	104
17082	6967	2
16182	4781	534
16174	2487	51
110895	3822	13
226999	3493	48
211798	3152	47
381339	1096	1
74897	573	0
66297	546	0
18993	3065	1
73100	2841	0
69527	1419	664
