EntrezID	Length	MCL1-DL_BC2CTUACXX_ATCACG_L002_R1
497097	3634	287
100503874	3259	4
100038431	1634	0
19888	9747	0
20671	3130	82
27395	4203	270
18777	2433	791
100503730	799	0
21399	2847	1066
58175	2241	2
108664	1976	903
18387	4707	0
226304	3692	0
12421	7046	1577
620393	858	0
240690	6161	0
319263	5232	1982
71096	4193	0
59014	2048	544
76187	3139	24
72481	1246	12
76982	3187	77
17864	3564	282
70675	5179	956
73331	1494	1
170755	5622	232
620986	451	52
240697	2553	8
73824	407	153
266793	74	3
100038398	2646	18
100039596	501	3
69312	1502	0
26754	1240	818
211660	4354	551
211673	7042	2772
329093	1930	63
109294	11187	161
320492	8293	2
329096	3200	0
240725	4864	372
240726	8512	5
383491	2593	15
17978	8213	3146
72265	2888	945
212442	1889	177
381246	1926	0
433273	1245	2
14048	4345	619
17681	1717	1
277328	4263	0
98741	5309	1
21749	1633	221
226866	2748	244
665434	572	0
75799	717	1
19989	934	8652
98711	2295	1388
29819	2890	362
66799	2354	717
67923	955	1980
329101	2788	1
70397	1732	467
17087	603	31
57339	4809	109
14545	3938	10
94227	6923	76
83691	4006	261
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	2638
241035	12928	1
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	116
77741	1120	0
74229	4420	70
71877	2208	77
170829	1409	90
75712	1112	98
14859	1450	5
241041	1148	0
368204	1950	1
433278	844	3
98582	2247	4
226922	6980	2240
116837	4066	3
66755	1781	0
387225	71	0
723964	84	0
70155	4844	401
100503399	1522	0
280645	4362	66
98366	2259	736
68002	667	123
68187	6467	906
12839	3888	181
12823	10542	0
68421	5392	1512
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	97
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	2194
19243	4129	1392
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	1
170771	1359	1
408192	1437	0
408191	3748	0
19076	1937	176
67503	889	5
19335	4487	354
213539	1815	1036
98403	3650	460
433287	3016	116
320705	2292	0
13518	23242	44370
100628580	79	1
69668	1705	96
27993	2249	354
52318	3559	100
19253	1578	14
21755	1246	0
12627	1038	0
21756	1301	2
211383	4356	0
241051	2676	0
226970	2714	152
214469	5080	4708
226971	5469	268
50785	3719	1817
320011	9029	2043
214854	2583	26
214855	5699	10687
226976	4663	1817
214895	2225	254
94220	4582	617
94218	5283	173
78321	1954	119
109346	1786	115
20353	3805	2422
381337	2577	13
12859	569	464
226977	2077	2248
71166	1127	3
22637	2180	4
56030	6548	2695
70853	4422	7
12790	3498	3
269180	6817	823
76178	3862	768
67387	1412	439
269181	7054	787
77633	2755	72
100861893	736	0
72097	4361	12
100503734	2218	0
211484	3400	43
623661	1555	29
69028	1229	240
107734	691	384
332427	2564	0
69541	798	0
98258	4596	759
226982	7797	2740
56210	4262	404
16764	6010	226
381338	5077	1
98388	3120	55
100503760	2386	0
433292	1001	0
68833	1706	1833
18143	4180	12
114641	1254	889
54610	4440	288
52846	3170	474
100217461	94	4
67702	2434	742
263764	5799	1
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	5980
100047133	858	9
16178	1343	89
16177	5035	255
107527	1950	34
17082	6967	5
16182	4781	5
16174	2487	2
110895	3822	21
226999	3493	6
211798	3152	13
381339	1096	31
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	305
93690	3860	0
73122	5538	678
