EntrezID	Length	MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1
497097	3634	438
100503874	3259	1
100038431	1634	0
19888	9747	1
20671	3130	106
27395	4203	309
18777	2433	652
100503730	799	0
21399	2847	1604
58175	2241	4
108664	1976	769
18387	4707	0
226304	3692	2
12421	7046	1494
620393	858	0
240690	6161	0
319263	5232	1344
71096	4193	1
59014	2048	1691
76187	3139	18
72481	1246	5
76982	3187	17
17864	3564	764
70675	5179	1501
73331	1494	2
170755	5622	280
620986	451	61
240697	2553	6
73824	407	352
266793	74	10
100038398	2646	64
100039596	501	14
69312	1502	1
26754	1240	1134
211660	4354	670
211673	7042	3447
329093	1930	92
109294	11187	388
320492	8293	16
329096	3200	0
240725	4864	884
240726	8512	38
383491	2593	8
17978	8213	2356
72265	2888	1477
212442	1889	141
381246	1926	0
433273	1245	0
14048	4345	280
17681	1717	5
277328	4263	0
98741	5309	4
21749	1633	270
226866	2748	733
665434	572	1
75799	717	3
19989	934	13915
98711	2295	2322
29819	2890	395
66799	2354	750
67923	955	3119
329101	2788	1
70397	1732	485
17087	603	33
57339	4809	199
14545	3938	2
94227	6923	122
83691	4006	419
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	1715
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	2
17215	2886	1394
77741	1120	0
74229	4420	154
71877	2208	88
170829	1409	145
75712	1112	52
14859	1450	4
241041	1148	0
368204	1950	0
433278	844	1
98582	2247	1
226922	6980	1080
116837	4066	2
66755	1781	0
387225	71	0
723964	84	0
70155	4844	372
100503399	1522	0
280645	4362	56
98366	2259	739
68002	667	99
68187	6467	940
12839	3888	245
12823	10542	7
68421	5392	1230
210933	5522	1
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	174
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	2798
19243	4129	2493
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	7
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	425
67503	889	9
19335	4487	319
213539	1815	804
98403	3650	543
433287	3016	222
320705	2292	2
13518	23242	31072
100628580	79	1
69668	1705	250
27993	2249	782
52318	3559	281
19253	1578	47
21755	1246	0
12627	1038	0
21756	1301	1
211383	4356	0
241051	2676	0
226970	2714	181
214469	5080	6028
226971	5469	488
50785	3719	4283
320011	9029	2932
214854	2583	204
214855	5699	19388
226976	4663	2331
214895	2225	367
94220	4582	1581
94218	5283	396
78321	1954	128
109346	1786	96
20353	3805	7026
381337	2577	14
12859	569	646
226977	2077	2703
71166	1127	8
22637	2180	1
56030	6548	2896
70853	4422	14
12790	3498	4
269180	6817	699
76178	3862	808
67387	1412	529
269181	7054	1008
77633	2755	111
100861893	736	0
72097	4361	22
100503734	2218	0
211484	3400	27
623661	1555	26
69028	1229	171
107734	691	480
332427	2564	0
69541	798	0
98258	4596	870
226982	7797	4112
56210	4262	518
16764	6010	363
381338	5077	0
98388	3120	24
100503760	2386	0
433292	1001	0
68833	1706	1282
18143	4180	24
114641	1254	1655
54610	4440	482
52846	3170	948
100217461	94	21
