EntrezID	Length	MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	2
20671	3130	8
27395	4203	328
18777	2433	646
100503730	799	0
21399	2847	926
58175	2241	60
108664	1976	1570
18387	4707	0
226304	3692	0
12421	7046	1278
620393	858	0
240690	6161	0
319263	5232	1144
71096	4193	0
59014	2048	948
76187	3139	197
72481	1246	53
76982	3187	7
17864	3564	141
70675	5179	1290
73331	1494	0
170755	5622	58
620986	451	48
240697	2553	0
73824	407	192
266793	74	2
100038398	2646	28
100039596	501	0
69312	1502	6
26754	1240	1219
211660	4354	497
211673	7042	3079
329093	1930	0
109294	11187	38
320492	8293	9
329096	3200	0
240725	4864	11
240726	8512	8
383491	2593	3
17978	8213	1268
72265	2888	3090
212442	1889	182
381246	1926	0
433273	1245	0
14048	4345	1
17681	1717	16
277328	4263	0
98741	5309	0
21749	1633	137
226866	2748	19
665434	572	0
75799	717	0
19989	934	10919
98711	2295	609
29819	2890	357
66799	2354	335
67923	955	805
329101	2788	0
70397	1732	375
17087	603	144
57339	4809	45
14545	3938	1
94227	6923	1
83691	4006	3
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	61
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	354
77741	1120	0
74229	4420	6
71877	2208	11
170829	1409	61
75712	1112	12
14859	1450	89
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	2
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	5882
100503399	1522	6
280645	4362	84
98366	2259	535
68002	667	101
68187	6467	505
12839	3888	3790
12823	10542	3
68421	5392	1323
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	132
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	1709
19243	4129	1150
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	1
624262	762	1
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	239
67503	889	3
19335	4487	46
213539	1815	600
98403	3650	295
433287	3016	114
320705	2292	13
13518	23242	5308
100628580	79	0
69668	1705	169
27993	2249	762
52318	3559	152
19253	1578	1359
21755	1246	2
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	43
214469	5080	3482
226971	5469	377
50785	3719	4797
320011	9029	2388
214854	2583	6
214855	5699	1328
226976	4663	1660
214895	2225	302
94220	4582	212
94218	5283	240
78321	1954	95
109346	1786	86
20353	3805	2049
381337	2577	42
12859	569	717
226977	2077	1835
71166	1127	1
22637	2180	0
56030	6548	1728
70853	4422	0
12790	3498	0
269180	6817	336
76178	3862	1589
67387	1412	506
269181	7054	1520
77633	2755	121
100861893	736	0
72097	4361	819
100503734	2218	2
211484	3400	46
623661	1555	71
69028	1229	85
107734	691	365
332427	2564	0
69541	798	10
98258	4596	1298
226982	7797	6043
56210	4262	541
16764	6010	1
381338	5077	1
98388	3120	14
100503760	2386	0
433292	1001	0
68833	1706	629
18143	4180	315
114641	1254	1601
54610	4440	2274
52846	3170	311
100217461	94	8
67702	2434	2371
263764	5799	4
619289	2000	2
100042065	359	0
73426	531	0
26921	5974	4869
100047133	858	1
16178	1343	1
16177	5035	193
107527	1950	62
17082	6967	2
16182	4781	761
16174	2487	54
110895	3822	750
226999	3493	79
211798	3152	80
381339	1096	3
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	351
