EntrezID	Length	MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	0
20671	3130	3
27395	4203	307
18777	2433	544
100503730	799	2
21399	2847	508
58175	2241	27
108664	1976	1330
18387	4707	0
226304	3692	0
12421	7046	717
620393	858	0
240690	6161	0
319263	5232	1427
71096	4193	0
59014	2048	383
76187	3139	247
72481	1246	18
76982	3187	6
17864	3564	39
70675	5179	473
73331	1494	2
170755	5622	42
620986	451	33
240697	2553	1
73824	407	93
266793	74	3
100038398	2646	19
100039596	501	3
69312	1502	1
26754	1240	734
211660	4354	251
211673	7042	2290
329093	1930	0
109294	11187	62
320492	8293	0
329096	3200	0
240725	4864	18
240726	8512	1
383491	2593	0
17978	8213	719
72265	2888	4555
212442	1889	344
381246	1926	4
433273	1245	3
14048	4345	0
17681	1717	1
277328	4263	0
98741	5309	0
21749	1633	154
226866	2748	0
665434	572	0
75799	717	0
19989	934	3834
98711	2295	114
29819	2890	191
66799	2354	208
67923	955	549
329101	2788	0
70397	1732	448
17087	603	106
57339	4809	42
14545	3938	0
94227	6923	2
83691	4006	1
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	99
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	552
77741	1120	0
74229	4420	1
71877	2208	5
170829	1409	51
75712	1112	4
14859	1450	38
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	1
116837	4066	0
66755	1781	0
387225	71	0
723964	84	1
70155	4844	2986
100503399	1522	10
280645	4362	37
98366	2259	453
68002	667	112
68187	6467	310
12839	3888	4874
12823	10542	4
68421	5392	587
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	72
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	802
19243	4129	681
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	1
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	195
67503	889	1
19335	4487	43
213539	1815	222
98403	3650	134
433287	3016	68
320705	2292	5
13518	23242	3578
100628580	79	1
69668	1705	115
27993	2249	430
52318	3559	80
19253	1578	985
21755	1246	2
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	10
214469	5080	1764
226971	5469	262
50785	3719	2101
320011	9029	2553
214854	2583	14
214855	5699	1643
226976	4663	825
214895	2225	406
94220	4582	284
94218	5283	319
78321	1954	105
109346	1786	97
20353	3805	978
381337	2577	4
12859	569	596
226977	2077	1304
71166	1127	1
22637	2180	1
56030	6548	954
70853	4422	0
12790	3498	0
269180	6817	128
76178	3862	1059
67387	1412	375
269181	7054	1062
77633	2755	107
100861893	736	0
72097	4361	582
100503734	2218	2
211484	3400	18
623661	1555	21
69028	1229	116
107734	691	221
332427	2564	0
69541	798	2
98258	4596	440
226982	7797	2501
56210	4262	354
16764	6010	0
381338	5077	0
98388	3120	1
100503760	2386	0
433292	1001	0
68833	1706	230
18143	4180	462
114641	1254	669
54610	4440	4091
52846	3170	158
100217461	94	0
67702	2434	1947
263764	5799	0
619289	2000	1
100042065	359	0
73426	531	0
26921	5974	985
100047133	858	0
16178	1343	8
16177	5035	120
107527	1950	162
17082	6967	2
16182	4781	453
16174	2487	104
110895	3822	3110
226999	3493	409
211798	3152	73
381339	1096	2
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	174
93690	3860	0
73122	5538	499
