EntrezID	Length	MCL1-DH_BC2CTUACXX_CAGATC_L002_R1
497097	3634	300
100503874	3259	0
100038431	1634	0
19888	9747	1
20671	3130	182
27395	4203	234
18777	2433	515
100503730	799	1
21399	2847	1495
58175	2241	2
108664	1976	752
18387	4707	0
226304	3692	0
12421	7046	1412
620393	858	0
240690	6161	0
319263	5232	1242
71096	4193	0
59014	2048	1808
76187	3139	15
72481	1246	3
76982	3187	6
17864	3564	537
70675	5179	1378
73331	1494	1
170755	5622	232
620986	451	70
240697	2553	3
73824	407	366
266793	74	11
100038398	2646	21
100039596	501	10
69312	1502	0
26754	1240	1051
211660	4354	606
211673	7042	3604
329093	1930	121
109294	11187	553
320492	8293	9
329096	3200	0
240725	4864	965
240726	8512	15
383491	2593	11
17978	8213	2516
72265	2888	1481
212442	1889	119
381246	1926	0
433273	1245	2
14048	4345	388
17681	1717	2
277328	4263	0
98741	5309	0
21749	1633	235
226866	2748	924
665434	572	1
75799	717	0
19989	934	16804
98711	2295	1860
29819	2890	419
66799	2354	719
67923	955	2920
329101	2788	1
70397	1732	428
17087	603	21
57339	4809	162
14545	3938	2
94227	6923	234
83691	4006	768
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	1540
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	1176
77741	1120	4
74229	4420	164
71877	2208	77
170829	1409	109
75712	1112	78
14859	1450	2
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	1
226922	6980	1113
116837	4066	10
66755	1781	0
387225	71	0
723964	84	0
70155	4844	332
100503399	1522	0
280645	4362	70
98366	2259	808
68002	667	73
68187	6467	840
12839	3888	725
12823	10542	6
68421	5392	1176
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	193
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	2504
19243	4129	2611
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	2
170771	1359	4
408192	1437	0
408191	3748	0
19076	1937	388
67503	889	9
19335	4487	271
213539	1815	1071
98403	3650	489
433287	3016	214
320705	2292	3
13518	23242	36904
100628580	79	0
69668	1705	216
27993	2249	689
52318	3559	241
19253	1578	53
21755	1246	0
12627	1038	0
21756	1301	1
211383	4356	0
241051	2676	0
226970	2714	228
214469	5080	5643
226971	5469	557
50785	3719	3843
320011	9029	2375
214854	2583	294
214855	5699	14215
226976	4663	2293
214895	2225	287
94220	4582	1359
94218	5283	268
78321	1954	105
109346	1786	101
20353	3805	5219
381337	2577	6
12859	569	583
226977	2077	2537
71166	1127	9
22637	2180	19
56030	6548	2643
70853	4422	7
12790	3498	16
269180	6817	572
76178	3862	737
67387	1412	511
269181	7054	982
77633	2755	134
100861893	736	0
72097	4361	14
100503734	2218	0
211484	3400	36
623661	1555	26
69028	1229	208
107734	691	431
332427	2564	0
69541	798	0
98258	4596	755
226982	7797	3876
56210	4262	530
16764	6010	327
381338	5077	5
98388	3120	9
100503760	2386	0
433292	1001	0
68833	1706	1119
18143	4180	25
114641	1254	1862
54610	4440	470
52846	3170	806
100217461	94	17
67702	2434	3143
263764	5799	16
619289	2000	2
100042065	359	2
73426	531	0
26921	5974	5787
100047133	858	0
16178	1343	12
16177	5035	462
107527	1950	211
17082	6967	23
16182	4781	51
16174	2487	2
110895	3822	3
226999	3493	10
211798	3152	21
381339	1096	7
74897	573	0
66297	546	0
18993	3065	1
73100	2841	0
69527	1419	408
93690	3860	0
73122	5538	526
98404	3457	280
14200	1563	1068
666642	647	862
17974	2775	1614
100861934	1421	2
78896	888	4153
67883	1263	148
100503192	585	504
22019	4649	3036
433294	1086	0
75623	1265	527
72050	2324	1178
246229	3571	110
22592	4010	585
100861960	766	0
403183	3181	0
70676	2976	888
75066	906	2
12825	5564	1844
12832	6615	4982
73674	2612	860
433297	641	4902
53945	3380	91
100042453	717	3
212225	3483	0
227058	12318	169
100101919	12384	9
227059	4961	2138
442837	542	0
56363	3339	38
442821	2552	1
20324	3055	4455
109019	2838	2577
100045066	3051	3
17912	5042	1908
20849	2981	3
100042634	432	2
20846	5356	626
14660	7488	10148
17936	5088	2088
227094	3394	109
98682	5591	1062
16329	1776	278
227095	1704	337
67080	834	119
17700	2682	0
69397	627	0
227099	3032	118
227102	1846	89
72085	2283	144
70396	2362	217
627872	12272	42
98267	3278	721
329152	11336	77
78016	3807	1
98488	3005	208
241062	10579	242
329154	6140	1385
81898	6192	17467
67876	1733	5636
15510	2332	5221
15528	768	1051
19070	2826	1084
74013	3677	268
212679	2882	230
75388	1258	0
227120	6555	1045
626009	1369	146
329159	1906	0
71066	1408	0
212712	5286	21
329160	3728	5
407809	3304	0
75323	2052	6
73467	3008	47
68736	1442	174
68115	1325	283
67198	4045	968
51960	2733	159
68549	5416	102
11761	4382	693
71724	4360	2
71872	4973	0
213043	4776	0
66882	2833	7641
12747	3088	6773
70225	1630	196
65102	2105	207
18393	3371	523
100504455	2126	2
213056	8695	166
66495	532	457
100504501	936	45
108812	1579	1
12633	7814	1999
12370	2777	528
70827	6240	3769
227154	2318	112
73463	2131	0
381259	1972	429
227157	3087	22
74018	7038	1491
271697	1477	29
14369	4809	5400
381260	3595	6
22218	1215	1780
55989	1976	17215
100217459	53	4
100217421	63	3
12168	3507	1790
100504533	314	122
72750	5532	1602
70375	3650	26
57750	3376	259
241066	2604	87
100504573	431	932
269198	12108	1152
77951	1501	283
329165	5974	839
77300	9117	1203
100043027	207	268
100042533	791	8
12487	4317	0
100504618	845	0
12477	1931	0
54167	3254	1
77341	892	0
72823	8392	444
18187	8122	1176
74992	895	3
227195	13529	1800
100380944	1802	39
100504668	1301	15
227197	2927	1231
55949	1933	13977
100217464	113	33
241070	1606	10
73884	12621	311
23792	6879	26
241073	2427	0
76668	1711	3
75619	3205	329
74426	1756	1
433315	1432	0
93691	1344	354
12912	8421	813
67099	2666	170
69941	713	49
227210	2927	1310
14367	6914	2317
241075	8562	680
70861	1353	0
667276	1020	31
12968	642	0
