EntrezID	Length	MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1
497097	3634	65
100503874	3259	1
100038431	1634	0
19888	9747	0
20671	3130	82
27395	4203	337
18777	2433	948
100503730	799	0
21399	2847	1721
58175	2241	14
108664	1976	1062
18387	4707	0
226304	3692	0
12421	7046	1157
620393	858	0
240690	6161	0
319263	5232	1374
71096	4193	1
59014	2048	2127
76187	3139	15
72481	1246	3
76982	3187	15
17864	3564	286
70675	5179	1137
73331	1494	1
170755	5622	145
620986	451	58
240697	2553	6
73824	407	424
266793	74	11
100038398	2646	23
100039596	501	4
69312	1502	1
26754	1240	1174
211660	4354	493
211673	7042	3304
329093	1930	89
109294	11187	145
320492	8293	2
329096	3200	0
240725	4864	331
240726	8512	23
383491	2593	13
17978	8213	3180
72265	2888	1409
212442	1889	135
381246	1926	0
433273	1245	2
14048	4345	412
17681	1717	3
277328	4263	0
98741	5309	0
21749	1633	181
226866	2748	382
665434	572	2
75799	717	1
19989	934	14309
98711	2295	1809
29819	2890	533
66799	2354	712
67923	955	2716
329101	2788	2
70397	1732	605
17087	603	54
57339	4809	214
14545	3938	22
94227	6923	170
83691	4006	315
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	1545
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	1
17215	2886	733
77741	1120	1
74229	4420	101
71877	2208	38
170829	1409	65
75712	1112	77
14859	1450	3
241041	1148	0
368204	1950	2
433278	844	0
98582	2247	1
226922	6980	881
116837	4066	4
66755	1781	0
387225	71	0
723964	84	0
70155	4844	619
100503399	1522	3
280645	4362	95
98366	2259	850
68002	667	95
68187	6467	637
12839	3888	1818
12823	10542	3
68421	5392	1241
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	168
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	1902
19243	4129	2068
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	3
170771	1359	3
408192	1437	0
408191	3748	0
19076	1937	339
67503	889	4
19335	4487	245
213539	1815	2241
98403	3650	618
433287	3016	186
320705	2292	1
13518	23242	16894
100628580	79	0
69668	1705	241
27993	2249	633
52318	3559	213
19253	1578	64
21755	1246	0
12627	1038	0
21756	1301	2
211383	4356	0
241051	2676	0
226970	2714	251
214469	5080	6557
226971	5469	398
50785	3719	3703
320011	9029	2220
214854	2583	63
214855	5699	6976
226976	4663	2202
214895	2225	297
94220	4582	998
94218	5283	117
78321	1954	92
109346	1786	133
20353	3805	5233
381337	2577	17
12859	569	787
226977	2077	2563
71166	1127	12
22637	2180	13
56030	6548	2665
70853	4422	2
12790	3498	3
269180	6817	627
76178	3862	844
67387	1412	464
269181	7054	810
77633	2755	172
100861893	736	0
72097	4361	46
100503734	2218	0
211484	3400	36
623661	1555	39
69028	1229	236
107734	691	494
332427	2564	0
69541	798	0
98258	4596	836
226982	7797	4855
56210	4262	693
16764	6010	325
381338	5077	0
98388	3120	48
100503760	2386	0
433292	1001	0
68833	1706	1698
18143	4180	14
114641	1254	1804
54610	4440	306
52846	3170	602
100217461	94	14
67702	2434	2005
263764	5799	19
619289	2000	1
100042065	359	0
73426	531	0
26921	5974	6242
100047133	858	9
16178	1343	42
16177	5035	369
107527	1950	62
17082	6967	93
16182	4781	40
16174	2487	7
110895	3822	15
226999	3493	8
211798	3152	18
381339	1096	25
74897	573	0
66297	546	0
18993	3065	0
73100	2841	1
69527	1419	437
93690	3860	1
73122	5538	581
98404	3457	357
14200	1563	1803
666642	647	815
17974	2775	2049
100861934	1421	1
78896	888	11991
67883	1263	120
100503192	585	522
22019	4649	3416
433294	1086	1
75623	1265	489
72050	2324	1284
246229	3571	127
22592	4010	583
100861960	766	0
403183	3181	0
70676	2976	717
75066	906	2
12825	5564	3202
12832	6615	1597
73674	2612	917
433297	641	9502
53945	3380	22
100042453	717	1
212225	3483	0
227058	12318	79
100101919	12384	8
227059	4961	2181
442837	542	0
56363	3339	9
442821	2552	0
20324	3055	2493
109019	2838	2107
100045066	3051	3
17912	5042	2129
20849	2981	19
100042634	432	0
20846	5356	1056
14660	7488	10106
17936	5088	2836
227094	3394	92
98682	5591	868
16329	1776	222
227095	1704	552
67080	834	361
17700	2682	0
69397	627	2
227099	3032	96
227102	1846	53
72085	2283	139
70396	2362	187
627872	12272	15
98267	3278	1198
329152	11336	194
78016	3807	2
98488	3005	196
241062	10579	238
329154	6140	484
81898	6192	16440
67876	1733	5220
15510	2332	5127
15528	768	975
19070	2826	1239
74013	3677	79
212679	2882	299
75388	1258	0
227120	6555	1126
626009	1369	152
329159	1906	0
71066	1408	0
212712	5286	8
329160	3728	3
407809	3304	0
75323	2052	8
73467	3008	94
68736	1442	222
68115	1325	300
67198	4045	958
51960	2733	185
68549	5416	87
11761	4382	281
71724	4360	2
71872	4973	4
213043	4776	4
66882	2833	7408
12747	3088	4161
70225	1630	241
65102	2105	174
18393	3371	421
100504455	2126	3
213056	8695	188
66495	532	660
100504501	936	60
108812	1579	2
12633	7814	2552
12370	2777	315
70827	6240	3757
227154	2318	131
73463	2131	0
381259	1972	392
227157	3087	10
74018	7038	1660
271697	1477	60
14369	4809	7854
381260	3595	5
22218	1215	1724
55989	1976	18013
100217459	53	4
100217421	63	3
12168	3507	1975
100504533	314	146
72750	5532	1743
70375	3650	20
57750	3376	300
241066	2604	87
100504573	431	761
269198	12108	1139
77951	1501	242
329165	5974	1155
77300	9117	1519
100043027	207	358
100042533	791	6
12487	4317	2
100504618	845	0
12477	1931	3
54167	3254	2
77341	892	0
72823	8392	354
18187	8122	1167
74992	895	7
227195	13529	1992
100380944	1802	35
100504668	1301	11
227197	2927	1790
55949	1933	10741
100217464	113	47
241070	1606	5
73884	12621	127
23792	6879	12
241073	2427	0
76668	1711	0
75619	3205	340
74426	1756	1
433315	1432	0
93691	1344	387
12912	8421	781
67099	2666	200
69941	713	22
227210	2927	797
14367	6914	1546
241075	8562	362
70861	1353	0
667276	1020	21
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	8
15926	2438	727
18711	11255	468
213527	2414	1
12969	622	0
17756	5520	3346
100038569	1663	2
329178	13533	28
66646	2630	658
68691	4760	2495
11363	1892	2061
100862127	515	10
17901	1111	1
14768	4461	1070
227231	4704	0
13869	4257	6
100502712	2069	0
22779	9424	421
66722	2270	0
320460	4655	0
12021	5448	74
74591	8323	30
108147	2611	1224
14268	8312	644
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	3
381269	2493	427
111175	1186	279
271711	2815	13
22596	2556	1235
381270	4187	17
54380	6715	677
319695	4573	1
19981	588	249
16008	1330	28282
16011	5854	106228
21958	427	0
69449	571	1
723792	1560	101
78718	551	12
109198	1801	4
21961	9966	23002
435626	2336	184
100862357	817	0
12765	3043	5
227288	1125	0
100316687	67	0
76709	1597	5435
227289	990	1
227290	1820	4602
56695	3501	793
69660	2309	3949
241112	2101	18
18173	2304	22
227292	2776	1193
387219	85	0
22349	3117	26
319651	7196	1907
58184	3266	560
18802	3121	88
77264	7472	1219
66821	1829	265
57751	1475	681
269209	5235	85
67534	4253	748
104086	1890	171
241113	2832	20
22420	2068	1673
22409	1962	1039
12570	2704	0
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	4
75570	860	59
22626	2059	61
69171	2738	570
227298	2557	592
68818	1299	280
74104	2934	397
245860	3764	1074
52231	2764	159
74577	3451	200
20872	2885	750
22145	2053	5306
381272	767	0
56812	3203	1291
19275	3535	34
19711	710	2
13437	1946	642
13346	2150	106
100503248	676	0
11790	11933	3032
69080	1528	1084
100862164	449	0
241118	2650	38
74241	3235	2446
319998	2185	241
98733	5770	1521
16322	1463	167
71728	4458	289
20536	4441	1516
100862333	771	0
620079	2188	0
13838	6328	2688
18505	3868	0
100039210	1208	0
433323	3998	9
23874	2132	944
68393	1206	3
74205	3950	2278
195434	3981	907
57814	2463	214
20254	2485	0
100862182	832	0
252903	2876	101
69368	4714	480
100038695	1791	0
69163	1424	179
100862198	480	0
20720	2055	398
241128	2862	1
26554	2764	5200
72208	394	0
210293	7303	51
241134	4919	0
16367	9163	687
100503073	3039	1
76867	3757	1370
100503095	2833	1
12829	7808	234
12828	8609	298
75734	1866	1218
66261	1503	0
100044526	654	18
15463	3137	2064
80721	2974	29
71386	992	0
20297	802	22
71227	1670	1
77629	6512	0
98496	2667	74
227325	3632	0
100628595	77	0
14897	9632	5484
66153	900	13
71781	2349	3
100503433	891	0
381287	1760	0
621875	1334	1
100040135	1348	0
665378	1621	5
620078	1971	7
100040213	891	0
100039794	1073	38
665338	891	0
109032	1971	182
434484	2417	241
100503502	852	1
100503045	659	0
20684	2158	55
319997	1936	6
12283	3800	3637
64294	2024	9043
71141	1148	5
227326	2550	8
70060	1602	0
72792	3331	32
70247	3256	4018
15559	2072	13
78795	5258	312
100861644	653	0
227327	2595	16
383538	483	0
17975	8257	33474
100303740	116	44
80828	68	0
319336	1266	12
14767	1218	0
71863	1721	0
19231	1192	24503
18582	1092	270
26895	2231	172
18159	1042	65
208718	3171	443
11650	2113	0
76768	2337	1
11648	1680	0
13599	2698	20
69453	1999	1
11447	2910	0
11449	1921	0
26987	4928	1561
98363	1805	265
227331	5743	795
100040591	1349	137
73234	462	1
53972	3384	12
319977	1676	0
620454	1602	368
23956	2018	2
16331	4938	26
77040	3180	689
100217415	248	0
20215	1718	9
100503175	947	3
227333	5694	1577
227334	5316	372
394430	3242	0
394434	3216	0
394432	3294	2
394435	2293	808
94284	3302	574
394433	3208	0
22236	3206	0
15504	1017	12
394436	3229	3
100040766	7526	20
381280	8439	85
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	10
100503197	2622	4
320982	3967	5261
78650	476	0
73475	603	0
98402	3673	1908
77331	591	0
347722	9581	975
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	0
12778	2579	8197
108679	1843	2068
433332	1207	0
12835	10841	750
171531	4484	47
623503	261	0
19329	1950	48
16978	5743	2433
329207	3851	13
51801	3022	314
67921	1363	1129
665783	892	279
50880	2207	233
227357	5442	29
100503326	684	0
70788	3020	2
227358	2815	19
67444	1368	761
67086	547	1
55927	1335	132
18627	5837	2391
74019	3500	162
65247	6072	228
13345	1312	33
208727	3960	815
67273	1220	1307
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	687
260301	704	0
14733	3552	1832
100504295	543	0
387167	66	0
241158	3243	7
67446	1491	133
108657	3039	724
100037260	1689	3
23830	2877	130
64095	4396	18
208760	1088	0
16560	8257	337
11611	1517	1
71874	2362	56
381284	7348	4
208777	4474	675
69821	3315	652
269224	5119	217
66385	3653	605
404545	3217	1
110611	6238	23390
18000	3335	5849
227377	3912	169
59041	3254	2169
51800	1432	971
67026	2160	520
66615	2964	1014
