EntrezID	Length	MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	10
20671	3130	18
27395	4203	489
18777	2433	668
100503730	799	2
21399	2847	1068
58175	2241	138
108664	1976	1762
18387	4707	0
226304	3692	0
12421	7046	1288
620393	858	0
240690	6161	1
319263	5232	1036
71096	4193	0
59014	2048	1076
76187	3139	172
72481	1246	27
76982	3187	9
17864	3564	140
70675	5179	1446
73331	1494	2
170755	5622	55
620986	451	67
240697	2553	0
73824	407	206
266793	74	3
100038398	2646	6
100039596	501	4
69312	1502	1
26754	1240	1426
211660	4354	466
211673	7042	3018
329093	1930	0
109294	11187	24
320492	8293	2
329096	3200	0
240725	4864	10
240726	8512	18
383491	2593	5
17978	8213	1445
72265	2888	3945
212442	1889	201
381246	1926	0
433273	1245	1
14048	4345	1
17681	1717	36
277328	4263	0
98741	5309	0
21749	1633	150
226866	2748	3
665434	572	0
75799	717	0
19989	934	12087
98711	2295	620
29819	2890	469
66799	2354	345
67923	955	923
329101	2788	1
70397	1732	417
17087	603	167
57339	4809	55
14545	3938	1
94227	6923	4
83691	4006	5
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	200
241035	12928	3
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	1102
77741	1120	0
74229	4420	3
71877	2208	4
170829	1409	55
75712	1112	4
14859	1450	32
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	2
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	7155
100503399	1522	10
280645	4362	69
98366	2259	599
68002	667	102
68187	6467	519
12839	3888	3121
12823	10542	1
68421	5392	1139
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	208
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	1825
19243	4129	1268
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	2
624262	762	5
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	370
67503	889	9
19335	4487	48
213539	1815	708
98403	3650	350
433287	3016	161
320705	2292	3
13518	23242	4323
100628580	79	2
69668	1705	224
27993	2249	958
52318	3559	184
19253	1578	1223
21755	1246	2
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	42
214469	5080	4091
226971	5469	329
50785	3719	5203
320011	9029	3120
214854	2583	7
214855	5699	1590
226976	4663	1815
214895	2225	356
94220	4582	346
94218	5283	318
78321	1954	103
109346	1786	106
20353	3805	2300
381337	2577	91
12859	569	908
226977	2077	2116
71166	1127	1
22637	2180	0
56030	6548	2038
70853	4422	2
12790	3498	0
269180	6817	322
76178	3862	1962
67387	1412	575
269181	7054	1672
77633	2755	128
100861893	736	0
72097	4361	948
100503734	2218	0
211484	3400	33
623661	1555	55
69028	1229	112
107734	691	403
332427	2564	0
69541	798	3
98258	4596	1311
226982	7797	5629
56210	4262	607
16764	6010	0
381338	5077	1
98388	3120	24
100503760	2386	0
433292	1001	0
68833	1706	720
18143	4180	256
114641	1254	1863
54610	4440	2334
52846	3170	419
100217461	94	4
67702	2434	2553
263764	5799	6
619289	2000	1
100042065	359	0
73426	531	1
26921	5974	4492
100047133	858	0
16178	1343	0
16177	5035	133
107527	1950	48
17082	6967	7
16182	4781	348
16174	2487	36
110895	3822	337
226999	3493	51
211798	3152	66
381339	1096	1
74897	573	0
66297	546	0
18993	3065	1
73100	2841	0
69527	1419	404
