EntrezID	Length	MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1
497097	3634	354
100503874	3259	0
100038431	1634	0
19888	9747	0
20671	3130	43
27395	4203	290
18777	2433	928
100503730	799	0
21399	2847	1159
58175	2241	2
108664	1976	995
18387	4707	0
226304	3692	0
12421	7046	1603
620393	858	0
240690	6161	0
319263	5232	2029
71096	4193	0
59014	2048	793
76187	3139	24
72481	1246	17
76982	3187	84
17864	3564	358
70675	5179	1181
73331	1494	0
170755	5622	212
620986	451	61
240697	2553	9
73824	407	195
266793	74	8
100038398	2646	14
100039596	501	2
69312	1502	1
26754	1240	956
211660	4354	542
211673	7042	2983
329093	1930	71
109294	11187	137
320492	8293	0
329096	3200	0
240725	4864	437
240726	8512	10
383491	2593	18
17978	8213	3210
72265	2888	1026
212442	1889	180
381246	1926	0
433273	1245	0
14048	4345	497
17681	1717	2
277328	4263	0
98741	5309	0
21749	1633	169
226866	2748	245
665434	572	0
75799	717	2
19989	934	9690
98711	2295	1278
29819	2890	439
66799	2354	842
67923	955	2115
329101	2788	0
70397	1732	503
17087	603	52
57339	4809	136
14545	3938	14
94227	6923	112
83691	4006	257
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	2114
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	143
77741	1120	0
74229	4420	77
71877	2208	75
170829	1409	92
75712	1112	90
14859	1450	8
241041	1148	0
368204	1950	3
433278	844	2
98582	2247	2
226922	6980	1662
116837	4066	5
66755	1781	0
387225	71	0
723964	84	0
70155	4844	401
100503399	1522	0
280645	4362	56
98366	2259	774
68002	667	89
68187	6467	836
12839	3888	197
12823	10542	0
68421	5392	1501
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	121
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	2231
19243	4129	1719
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	2
624262	762	2
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	177
67503	889	4
19335	4487	342
213539	1815	1276
98403	3650	396
433287	3016	124
320705	2292	3
13518	23242	56478
100628580	79	0
69668	1705	90
27993	2249	321
52318	3559	94
19253	1578	15
21755	1246	0
12627	1038	0
21756	1301	2
211383	4356	0
241051	2676	1
226970	2714	138
214469	5080	5162
226971	5469	314
50785	3719	2181
320011	9029	1951
214854	2583	44
214855	5699	10862
226976	4663	1987
214895	2225	273
94220	4582	658
94218	5283	101
78321	1954	110
109346	1786	98
20353	3805	2553
381337	2577	18
12859	569	476
226977	2077	2471
71166	1127	5
22637	2180	2
56030	6548	2830
70853	4422	6
12790	3498	6
269180	6817	868
76178	3862	801
67387	1412	400
269181	7054	848
77633	2755	92
100861893	736	0
72097	4361	16
100503734	2218	0
211484	3400	41
623661	1555	49
69028	1229	312
107734	691	454
332427	2564	0
69541	798	0
98258	4596	804
226982	7797	3336
56210	4262	420
16764	6010	231
381338	5077	0
98388	3120	32
100503760	2386	0
433292	1001	0
68833	1706	2032
18143	4180	12
114641	1254	987
54610	4440	246
52846	3170	405
100217461	94	3
67702	2434	815
263764	5799	0
619289	2000	2
100042065	359	0
73426	531	0
26921	5974	6128
100047133	858	7
16178	1343	110
16177	5035	266
107527	1950	37
17082	6967	9
16182	4781	4
16174	2487	2
110895	3822	24
226999	3493	6
211798	3152	6
381339	1096	24
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	370
93690	3860	1
73122	5538	629
98404	3457	433
14200	1563	1208
666642	647	491
17974	2775	1754
100861934	1421	2
78896	888	1445
67883	1263	64
100503192	585	428
22019	4649	1989
433294	1086	2
75623	1265	268
72050	2324	875
246229	3571	140
22592	4010	693
100861960	766	0
403183	3181	0
70676	2976	897
75066	906	2
12825	5564	2083
12832	6615	4816
73674	2612	474
433297	641	10675
53945	3380	22
100042453	717	1
212225	3483	0
227058	12318	220
100101919	12384	14
227059	4961	1952
442837	542	0
56363	3339	11
442821	2552	2
20324	3055	4721
109019	2838	4323
100045066	3051	3
17912	5042	1817
20849	2981	25
100042634	432	1
20846	5356	970
14660	7488	7574
