EntrezID	Length	MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1
497097	3634	237
100503874	3259	1
100038431	1634	0
19888	9747	0
20671	3130	105
27395	4203	300
18777	2433	935
100503730	799	0
21399	2847	1317
58175	2241	4
108664	1976	987
18387	4707	0
226304	3692	0
12421	7046	967
620393	858	0
240690	6161	1
319263	5232	1593
71096	4193	0
59014	2048	1653
76187	3139	21
72481	1246	4
76982	3187	18
17864	3564	262
70675	5179	1021
73331	1494	2
170755	5622	146
620986	451	62
240697	2553	4
73824	407	362
266793	74	14
100038398	2646	28
100039596	501	7
69312	1502	0
26754	1240	1031
211660	4354	434
211673	7042	2975
329093	1930	61
109294	11187	147
320492	8293	2
329096	3200	0
240725	4864	535
240726	8512	9
383491	2593	12
17978	8213	2743
72265	2888	1290
212442	1889	122
381246	1926	0
433273	1245	0
14048	4345	366
17681	1717	2
277328	4263	0
98741	5309	1
21749	1633	146
226866	2748	393
665434	572	0
75799	717	1
19989	934	12427
98711	2295	1253
29819	2890	464
66799	2354	650
67923	955	2221
329101	2788	4
70397	1732	522
17087	603	38
57339	4809	183
14545	3938	18
94227	6923	273
83691	4006	298
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	1787
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	504
77741	1120	1
74229	4420	84
71877	2208	62
170829	1409	76
75712	1112	109
14859	1450	4
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	2
226922	6980	947
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	396
100503399	1522	0
280645	4362	77
98366	2259	814
68002	667	134
68187	6467	550
12839	3888	1461
12823	10542	5
68421	5392	1444
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	144
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	1740
19243	4129	1697
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	2
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	275
67503	889	11
19335	4487	244
213539	1815	1917
98403	3650	548
433287	3016	160
320705	2292	1
13518	23242	27489
100628580	79	0
69668	1705	136
27993	2249	472
52318	3559	148
19253	1578	47
21755	1246	0
12627	1038	0
21756	1301	2
211383	4356	0
241051	2676	0
226970	2714	169
214469	5080	5811
226971	5469	361
50785	3719	3682
320011	9029	2113
214854	2583	29
214855	5699	6965
226976	4663	2021
214895	2225	246
94220	4582	698
94218	5283	121
78321	1954	105
109346	1786	112
20353	3805	4421
381337	2577	16
12859	569	780
226977	2077	2524
71166	1127	9
22637	2180	10
56030	6548	2640
70853	4422	7
12790	3498	3
269180	6817	538
76178	3862	803
67387	1412	424
269181	7054	708
77633	2755	103
100861893	736	0
72097	4361	32
100503734	2218	0
211484	3400	36
623661	1555	23
69028	1229	197
107734	691	534
332427	2564	0
69541	798	0
98258	4596	760
226982	7797	4156
56210	4262	574
16764	6010	278
381338	5077	1
98388	3120	29
100503760	2386	0
433292	1001	0
68833	1706	1844
18143	4180	29
114641	1254	1569
54610	4440	248
52846	3170	530
100217461	94	13
67702	2434	1673
263764	5799	20
619289	2000	2
100042065	359	0
73426	531	0
26921	5974	5804
100047133	858	7
16178	1343	90
16177	5035	409
107527	1950	67
17082	6967	25
16182	4781	28
16174	2487	1
110895	3822	16
226999	3493	3
211798	3152	16
381339	1096	26
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	436
93690	3860	1
73122	5538	473
98404	3457	362
14200	1563	1700
666642	647	726
17974	2775	1946
100861934	1421	6
78896	888	9261
67883	1263	85
100503192	585	510
22019	4649	2632
433294	1086	0
75623	1265	333
72050	2324	1188
246229	3571	114
22592	4010	579
100861960	766	0
403183	3181	0
70676	2976	944
75066	906	0
12825	5564	3285
12832	6615	2337
73674	2612	711
433297	641	10606
53945	3380	15
100042453	717	5
212225	3483	0
227058	12318	132
100101919	12384	4
227059	4961	1785
442837	542	0
56363	3339	17
442821	2552	2
20324	3055	2833
109019	2838	2327
100045066	3051	1
17912	5042	1670
20849	2981	30
100042634	432	2
20846	5356	894
14660	7488	8413
17936	5088	2360
227094	3394	69
98682	5591	853
16329	1776	222
227095	1704	550
67080	834	321
17700	2682	0
69397	627	1
227099	3032	67
227102	1846	52
72085	2283	139
70396	2362	170
627872	12272	25
98267	3278	832
329152	11336	158
78016	3807	6
98488	3005	183
241062	10579	240
329154	6140	549
81898	6192	13835
67876	1733	4648
15510	2332	3496
15528	768	712
